"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","minuslogqval","Color"
"17","HER2 / DF","P35527","P35527",-4.551399567,4.551399567,5.71e-169,3.09e-166,1008,"P35527","KRT9","Keratin, type I cytoskeletal 9","K1C9_HUMAN",54,-95.73526345,0.042647365,"HER2","DF","extracellular space,nucleus,intermediate filament,membrane,extracellular exosome","structural constituent of cytoskeleton","spermatogenesis,epidermis development,skin development,intermediate filament organization",165.510041520575,"Blue"
"18","ERPR / DF","P13645","P13645",-4.309679293,4.309679293,3.15e-167,2.75e-164,896,"P13645","KRT10","Keratin, type I cytoskeletal 10","K1C10_HUMAN",51,-94.95736817,0.050426318,"ERPR","DF","extracellular space,nucleus,cytoplasm,intermediate filament,membrane,extracellular exosome","structural constituent of epidermis","keratinocyte differentiation",163.56066730617,"Blue"
"19","ERPR / DF","P35527","P35527",-4.744458241,4.744458241,6.07e-165,3.53e-162,1008,"P35527","KRT9","Keratin, type I cytoskeletal 9","K1C9_HUMAN",54,-96.26942517,0.037305748,"ERPR","DF","extracellular space,nucleus,intermediate filament,membrane,extracellular exosome","structural constituent of cytoskeleton","spermatogenesis,epidermis development,skin development,intermediate filament organization",161.452225294612,"Blue"
"20","TN / DF","P02751","P02751",3.212593482,3.212593482,1.66e-160,3.92e-158,2016,"P02751","FN1","Fibronectin","FINC_HUMAN",117,827.0155135,9.270155135,"TN","DF","extracellular region,fibrinogen complex,basal lamina,extracellular space,endoplasmic reticulum-Golgi intermediate compartment,apical plasma membrane,extracellular matrix,platelet alpha granule lumen,extracellular exosome,blood microparticle","protease binding,integrin binding,protein binding,collagen binding,heparin binding,peptidase activator activity","angiogenesis,regulation of protein phosphorylation,platelet degranulation,acute-phase response,cell-substrate junction assembly,cell adhesion,calcium-independent cell-matrix adhesion,positive regulation of cell proliferation,regulation of cell shape,response to wounding,positive regulation of gene expression,positive regulation of peptidase activity,peptide cross-linking,extracellular matrix disassembly,extracellular matrix organization,integrin activation,substrate adhesion-dependent cell spreading,endodermal cell differentiation,wound healing,positive regulation of axon extension,positive regulation of fibroblast proliferation,leukocyte migration,regulation of ERK1 and ERK2 cascade,positive regulation of substrate-dependent cell migration, cell attachment to substrate,negative regulation of transforming growth factor-beta secretion",157.40671393298,"Red"
"21","HER2 / DF","P15924","P15924",-3.490645468,3.490645468,1.11e-160,4.49e-158,2058,"P15924","DSP","Desmoplakin","DESP_HUMAN",163,-91.10366743,0.088963326,"HER2","DF","cornified envelope,nucleus,cytoplasm,plasma membrane,fascia adherens,intercalated disc,basolateral plasma membrane,desmosome,extracellular matrix,extracellular exosome,intermediate filament","protein kinase C binding,structural molecule activity,structural constituent of cytoskeleton,protein binding,protein binding, bridging,poly(A) RNA binding,cell adhesion molecule binding,cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication,scaffold protein binding","desmosome organization,ventricular compact myocardium morphogenesis,epidermis development,peptide cross-linking,keratinocyte differentiation,adherens junction organization,wound healing,intermediate filament organization,protein localization to adherens junction,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,regulation of heart rate by cardiac conduction,regulation of ventricular cardiac muscle cell action potential",157.347753658997,"Blue"
"22","HER2 / DF","P35908","P35908",-4.270745388,4.270745388,1.18e-152,3.82e-150,868,"P35908","KRT2","Keratin, type II cytoskeletal 2 epidermal","K22E_HUMAN",51,-94.81943014,0.051805699,"HER2","DF","extracellular space,nucleus,cytoplasm,Golgi apparatus,intermediate filament,membrane,keratin filament,intermediate filament cytoskeleton,extracellular exosome","structural constituent of cytoskeleton,protein binding,cytoskeletal protein binding","keratinocyte development,epidermis development,keratinization,keratinocyte activation,keratinocyte proliferation,intermediate filament organization,keratinocyte migration",149.417936637088,"Blue"
"23","ERPR / DF","P15924","P15924",-3.497256034,3.497256034,1.07e-148,4.65e-146,2058,"P15924","DSP","Desmoplakin","DESP_HUMAN",163,-91.14433802,0.08855662,"ERPR","DF","cornified envelope,nucleus,cytoplasm,plasma membrane,fascia adherens,intercalated disc,basolateral plasma membrane,desmosome,extracellular matrix,extracellular exosome,intermediate filament","protein kinase C binding,structural molecule activity,structural constituent of cytoskeleton,protein binding,protein binding, bridging,poly(A) RNA binding,cell adhesion molecule binding,cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication,scaffold protein binding","desmosome organization,ventricular compact myocardium morphogenesis,epidermis development,peptide cross-linking,keratinocyte differentiation,adherens junction organization,wound healing,intermediate filament organization,protein localization to adherens junction,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,regulation of heart rate by cardiac conduction,regulation of ventricular cardiac muscle cell action potential",145.33254704711,"Blue"
"24","Meta / DF","P35527","P35527",-3.957995224,3.957995224,2.36e-146,8.34e-144,1008,"P35527","KRT9","Keratin, type I cytoskeletal 9","K1C9_HUMAN",54,-93.56535318,0.064346468,"Meta","DF","extracellular space,nucleus,intermediate filament,membrane,extracellular exosome","structural constituent of cytoskeleton","spermatogenesis,epidermis development,skin development,intermediate filament organization",143.078833949362,"Blue"
"25","TN / DF","P02533","P02533",-3.183125021,3.183125021,4.65e-142,9.63e-140,896,"P02533","KRT14","Keratin, type I cytoskeletal 14","K1C14_HUMAN",49,-88.99008696,0.11009913,"TN","DF","nucleus,cytoplasm,cytosol,intermediate filament,keratin filament,extracellular exosome,cell periphery","structural constituent of cytoskeleton,protein binding,keratin filament binding","aging,epidermis development,response to zinc ion,response to ionizing radiation,epithelial cell differentiation,hemidesmosome assembly,hair cycle,intermediate filament bundle assembly",139.016373712875,"Blue"
"26","TP / DF","P35908","P35908",-4.225950751,4.225950751,1.3e-138,5e-136,868,"P35908","KRT2","Keratin, type II cytoskeletal 2 epidermal","K22E_HUMAN",51,-94.65605396,0.05343946,"TP","DF","extracellular space,nucleus,cytoplasm,Golgi apparatus,intermediate filament,membrane,keratin filament,intermediate filament cytoskeleton,extracellular exosome","structural constituent of cytoskeleton,protein binding,cytoskeletal protein binding","keratinocyte development,epidermis development,keratinization,keratinocyte activation,keratinocyte proliferation,intermediate filament organization,keratinocyte migration",135.301029995664,"Blue"
"27","ERPR / DF","P35908","P35908",-4.31352496,4.31352496,1.96e-137,6.86e-135,868,"P35908","KRT2","Keratin, type II cytoskeletal 2 epidermal","K22E_HUMAN",51,-94.97079197,0.05029208,"ERPR","DF","extracellular space,nucleus,cytoplasm,Golgi apparatus,intermediate filament,membrane,keratin filament,intermediate filament cytoskeleton,extracellular exosome","structural constituent of cytoskeleton,protein binding,cytoskeletal protein binding","keratinocyte development,epidermis development,keratinization,keratinocyte activation,keratinocyte proliferation,intermediate filament organization,keratinocyte migration",134.163675884293,"Blue"
"28","Meta / DF","P13645","P13645",-3.316915947,3.316915947,7.42e-137,2.18e-134,896,"P13645","KRT10","Keratin, type I cytoskeletal 10","K1C10_HUMAN",51,-89.96519802,0.10034802,"Meta","DF","extracellular space,nucleus,cytoplasm,intermediate filament,membrane,extracellular exosome","structural constituent of epidermis","keratinocyte differentiation",133.661543506395,"Blue"
"29","TP / DF","P98160","P98160",-1.994197848,1.994197848,3.62e-133,1.16e-130,2268,"P98160","HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN",161,-74.89925392,0.251007461,"TP","DF","extracellular region,basement membrane,extracellular space,Golgi lumen,plasma membrane,focal adhesion,extracellular matrix,lysosomal lumen,extracellular exosome","calcium ion binding,protein binding,protein C-terminus binding","retinoid metabolic process,angiogenesis,glycosaminoglycan biosynthetic process,glycosaminoglycan catabolic process,extracellular matrix disassembly,extracellular matrix organization,glycosaminoglycan metabolic process,lipoprotein metabolic process,cellular protein metabolic process",129.935542010773,"Blue"
"30","HER2 / DF","P78527","P78527",2.131314297,2.131314297,1.56e-131,4.23e-129,3710,"P78527","PRKDC","DNA-dependent protein kinase catalytic subunit","PRKDC_HUMAN",256,338.1164234,4.381164234,"HER2","DF","nuclear chromosome, telomeric region,nucleoplasm,transcription factor complex,nucleolus,cytosol,DNA-dependent protein kinase-DNA ligase 4 complex,membrane,extracellular matrix,nonhomologous end joining complex","double-stranded DNA binding,protein kinase activity,protein serine/threonine kinase activity,DNA-dependent protein kinase activity,protein binding,ATP binding,transcription factor binding,enzyme binding,poly(A) RNA binding","somitogenesis,negative regulation of protein phosphorylation,B cell lineage commitment,pro-B cell differentiation,T cell lineage commitment,negative regulation of immunoglobulin production,positive regulation of immune system process,double-strand break repair,double-strand break repair via nonhomologous end joining,cellular protein modification process,brain development,heart development,cell proliferation,intrinsic apoptotic signaling pathway in response to DNA damage,response to gamma radiation,response to activity,telomere capping,peptidyl-serine phosphorylation,protein destabilization,positive regulation of type I interferon production,cellular response to insulin stimulus,T cell differentiation in thymus,immunoglobulin V(D)J recombination,T cell receptor V(D)J recombination,ectopic germ cell programmed cell death,regulation of circadian rhythm,positive regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of transcription from RNA polymerase II promoter,positive regulation of fibroblast proliferation,rhythmic process,spleen development,thymus development,positive regulation of developmental growth,regulation of smooth muscle cell proliferation,signal transduction involved in mitotic G1 DNA damage checkpoint,double-strand break repair via alternative nonhomologous end joining,negative regulation of cellular senescence,negative regulation of response to gamma radiation",128.373659632625,"Red"
"31","TP / DF","O75369","O75369",1.487222152,1.487222152,2.34e-130,6.45e-128,3038,"O75369","FLNB","Filamin-B","FLNB_HUMAN",206,180.3486558,2.803486558,"TP","DF","stress fiber,cytoplasm,cytosol,plasma membrane,brush border,cell-cell adherens junction,focal adhesion,cell cortex,actin cytoskeleton,integral component of membrane,Z disc,extracellular matrix,extracellular exosome","actin binding,protein binding,poly(A) RNA binding,cadherin binding involved in cell-cell adhesion","keratinocyte development,epithelial cell morphogenesis,cytoskeletal anchoring at plasma membrane,signal transduction,skeletal muscle tissue development,actin cytoskeleton organization,cell-cell adhesion",127.190440285365,"Red"
"32","HER2 / DF","P02751","P02751",2.796785797,2.796785797,4e-128,9.27e-126,2016,"P02751","FN1","Fibronectin","FINC_HUMAN",117,594.8905672,6.948905672,"HER2","DF","extracellular region,fibrinogen complex,basal lamina,extracellular space,endoplasmic reticulum-Golgi intermediate compartment,apical plasma membrane,extracellular matrix,platelet alpha granule lumen,extracellular exosome,blood microparticle","protease binding,integrin binding,protein binding,collagen binding,heparin binding,peptidase activator activity","angiogenesis,regulation of protein phosphorylation,platelet degranulation,acute-phase response,cell-substrate junction assembly,cell adhesion,calcium-independent cell-matrix adhesion,positive regulation of cell proliferation,regulation of cell shape,response to wounding,positive regulation of gene expression,positive regulation of peptidase activity,peptide cross-linking,extracellular matrix disassembly,extracellular matrix organization,integrin activation,substrate adhesion-dependent cell spreading,endodermal cell differentiation,wound healing,positive regulation of axon extension,positive regulation of fibroblast proliferation,leukocyte migration,regulation of ERK1 and ERK2 cascade,positive regulation of substrate-dependent cell migration, cell attachment to substrate,negative regulation of transforming growth factor-beta secretion",125.032920265856,"Red"
"33","TN / DF","P48668","P48668",-3.973874469,3.973874469,3.59e-124,6.6e-122,924,"P48668","KRT6C","Keratin, type II cytoskeletal 6C","K2C6C_HUMAN",49,-93.63578876,0.063642112,"TN","DF","intermediate filament,keratin filament,extracellular exosome","structural molecule activity,protein binding","intermediate filament cytoskeleton organization",121.180456064458,"Blue"
"34","ERPR / DF","Q15063","Q15063",3.120781093,3.120781093,3.76e-123,1.09e-120,882,"Q15063","POSTN","Periostin","POSTN_HUMAN",48,769.8587149,8.698587149,"ERPR","DF","proteinaceous extracellular matrix,extracellular space,trans-Golgi network,extracellular matrix,neuromuscular junction","protein binding,heparin binding,metal ion binding,cell adhesion molecule binding","skeletal system development,response to hypoxia,negative regulation of cell-matrix adhesion,regulation of systemic arterial blood pressure,cell adhesion,regulation of Notch signaling pathway,response to mechanical stimulus,response to muscle activity,positive regulation of smooth muscle cell migration,extracellular matrix organization,response to estradiol,cellular response to fibroblast growth factor stimulus,cellular response to vitamin K,cellular response to tumor necrosis factor,cellular response to transforming growth factor beta stimulus,negative regulation of substrate adhesion-dependent cell spreading,positive regulation of chemokine (C-C motif) ligand 2 secretion,neuron projection extension,bone regeneration",119.962573502059,"Red"
"35","HER2 / DF","P02533","P02533",-2.516628947,2.516628947,4.2e-120,8.53e-118,896,"P02533","KRT14","Keratin, type I cytoskeletal 14","K1C14_HUMAN",49,-82.52491894,0.174750811,"HER2","DF","nucleus,cytoplasm,cytosol,intermediate filament,keratin filament,extracellular exosome,cell periphery","structural constituent of cytoskeleton,protein binding,keratin filament binding","aging,epidermis development,response to zinc ion,response to ionizing radiation,epithelial cell differentiation,hemidesmosome assembly,hair cycle,intermediate filament bundle assembly",117.069050968832,"Blue"
"36","Meta / DF","P35908","P35908",-3.552602343,3.552602343,1.36e-115,3.44e-113,868,"P35908","KRT2","Keratin, type II cytoskeletal 2 epidermal","K22E_HUMAN",51,-91.47763497,0.08522365,"Meta","DF","extracellular space,nucleus,cytoplasm,Golgi apparatus,intermediate filament,membrane,keratin filament,intermediate filament cytoskeleton,extracellular exosome","structural constituent of cytoskeleton,protein binding,cytoskeletal protein binding","keratinocyte development,epidermis development,keratinization,keratinocyte activation,keratinocyte proliferation,intermediate filament organization,keratinocyte migration",112.463441557428,"Blue"
"37","Meta / DF","P49327","P49327",-1.95721617,1.95721617,1.3e-114,2.87e-112,3388,"P49327","FASN","Fatty acid synthase","FAS_HUMAN",161,-74.24751013,0.257524899,"Meta","DF","cytoplasm,mitochondrion,Golgi apparatus,cytosol,plasma membrane,cell-cell adherens junction,membrane,melanosome,glycogen granule,extracellular exosome","fatty acid synthase activity,[acyl-carrier-protein] S-acetyltransferase activity,[acyl-carrier-protein] S-malonyltransferase activity,3-oxoacyl-[acyl-carrier-protein] synthase activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity,enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity,oleoyl-[acyl-carrier-protein] hydrolase activity,protein binding,drug binding,myristoyl-[acyl-carrier-protein] hydrolase activity,palmitoyl-[acyl-carrier-protein] hydrolase activity,phosphopantetheine binding,protein homodimerization activity,poly(A) RNA binding,enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity,3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity,NADPH binding,cadherin binding involved in cell-cell adhesion,3-oxo-pimeloyl-[acp] methyl ester reductase activity","osteoblast differentiation,acetyl-CoA metabolic process,fatty acid metabolic process,fatty acid biosynthetic process,pantothenate metabolic process,mammary gland development,positive regulation of cellular metabolic process,long-chain fatty-acyl-CoA biosynthetic process,oxidation-reduction process,cellular response to interleukin-4,cell-cell adhesion",111.542118103266,"Blue"
"38","ERPR / DF","P49327","P49327",0.893376858,0.893376858,3.59e-113,8.95e-111,3388,"P49327","FASN","Fatty acid synthase","FAS_HUMAN",161,85.75188582,1.857518858,"ERPR","DF","cytoplasm,mitochondrion,Golgi apparatus,cytosol,plasma membrane,cell-cell adherens junction,membrane,melanosome,glycogen granule,extracellular exosome","fatty acid synthase activity,[acyl-carrier-protein] S-acetyltransferase activity,[acyl-carrier-protein] S-malonyltransferase activity,3-oxoacyl-[acyl-carrier-protein] synthase activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity,enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity,oleoyl-[acyl-carrier-protein] hydrolase activity,protein binding,drug binding,myristoyl-[acyl-carrier-protein] hydrolase activity,palmitoyl-[acyl-carrier-protein] hydrolase activity,phosphopantetheine binding,protein homodimerization activity,poly(A) RNA binding,enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity,3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity,NADPH binding,cadherin binding involved in cell-cell adhesion,3-oxo-pimeloyl-[acp] methyl ester reductase activity","osteoblast differentiation,acetyl-CoA metabolic process,fatty acid metabolic process,fatty acid biosynthetic process,pantothenate metabolic process,mammary gland development,positive regulation of cellular metabolic process,long-chain fatty-acyl-CoA biosynthetic process,oxidation-reduction process,cellular response to interleukin-4,cell-cell adhesion",110.048176964684,"Red"
